id,relations,child_count
1.0,切橿,3
2.0,切橿,2
3.0,切橿,2
4.0,切橿,2
5.0,切橿,2
6.0,切橿,2
7.0,切橿,1
9.0,切橿,1
11.0,切橿,2
12.0,切橿,1
13.0,切橿,2
15.0,切橿,3
16.0,切橿,1
17.0,切橿,2
18.0,切橿,1
19.0,切橿,3
20.0,切橿,2
21.0,切橿,2
22.0,切橿,2
23.0,切橿,2
24.0,切橿,1
25.0,切橿,1
27.0,切橿,2
28.0,切橿,3
29.0,切橿,2
30.0,切橿,1
32.0,切橿,2
33.0,切橿,1
34.0,切橿,2
35.0,切橿,2
36.0,切橿,2
37.0,切橿,2
40.0,切橿,2
42.0,切橿,2
43.0,切橿,1
45.0,切橿,2
46.0,切橿,2
47.0,切橿,2
50.0,切橿,3
51.0,切橿,2
52.0,切橿,2
54.0,切橿,2
55.0,切橿,2
57.0,切橿,3
58.0,切橿,2
60.0,切橿,2
61.0,切橿,2
63.0,切橿,2
65.0,切橿,3
67.0,切橿,1
69.0,切橿,1
70.0,切橿,2
71.0,切橿,1
72.0,切橿,1
75.0,切橿,2
76.0,切橿,2
77.0,切橿,2
78.0,切橿,2
82.0,切橿,1
83.0,切橿,2
84.0,切橿,1
85.0,切橿,1
88.0,切橿,2
90.0,切橿,1
91.0,切橿,1
92.0,切橿,2
94.0,切橿,1
97.0,切橿,1
99.0,切橿,1
101.0,切橿,1
102.0,切橿,2
103.0,切橿,2
104.0,切橿,1
106.0,切橿,2
107.0,切橿,2
108.0,切橿,2
109.0,切橿,1
110.0,切橿,1
116.0,切橿,3
117.0,切橿,2
122.0,切橿,2
123.0,切橿,2
124.0,切橿,3
125.0,切橿,2
126.0,切橿,2
127.0,切橿,1
133.0,切橿,2
135.0,切橿,2
136.0,切橿,2
140.0,切橿,2
142.0,切橿,2
145.0,切橿,1
146.0,切橿,2
148.0,切橿,1
149.0,切橿,1
154.0,切橿,1
161.0,切橿,2
163.0,切橿,1
165.0,切橿,2
166.0,切橿,2
167.0,切橿,3
168.0,切橿,1
171.0,切橿,1
172.0,切橿,2
173.0,切橿,2
175.0,切橿,1
177.0,切橿,2
181.0,切橿,1
184.0,切橿,2
186.0,切橿,2
187.0,切橿,2
190.0,切橿,2
191.0,切橿,1
192.0,切橿,2
194.0,切橿,2
196.0,切橿,2
200.0,切橿,1
202.0,切橿,2
205.0,切橿,2
208.0,切橿,3
217.0,切橿,3
218.0,切橿,1
219.0,切橿,2
221.0,切橿,2
223.0,切橿,2
224.0,切橿,1
225.0,切橿,3
226.0,切橿,1
227.0,切橿,2
229.0,切橿,2
234.0,切橿,2
235.0,切橿,2
239.0,切橿,2
240.0,切橿,2
241.0,切橿,2
242.0,切橿,1
246.0,切橿,1
249.0,切橿,1
256.0,切橿,2
258.0,切橿,1
261.0,切橿,4
262.0,切橿,2
264.0,切橿,2
265.0,切橿,3
266.0,切橿,1
267.0,切橿,2
270.0,切橿,1
271.0,切橿,1
272.0,切橿,2
273.0,切橿,1
274.0,切橿,2
279.0,切橿,2
280.0,切橿,2
282.0,切橿,2
284.0,切橿,2
289.0,切橿,2
297.0,切橿,1
299.0,切橿,2
300.0,切橿,1
301.0,切橿,2
303.0,切橿,1
304.0,切橿,1
305.0,切橿,1
309.0,切橿,2
316.0,切橿,1
319.0,切橿,2
321.0,切橿,1
323.0,切橿,1
324.0,切橿,1
329.0,切橿,1
330.0,切橿,2
333.0,切橿,2
334.0,切橿,3
337.0,切橿,2
339.0,切橿,2
340.0,切橿,2
341.0,切橿,2
342.0,切橿,1
344.0,切橿,2
347.0,切橿,1
349.0,切橿,1
355.0,切橿,1
364.0,切橿,1
367.0,切橿,1
368.0,切橿,1
372.0,切橿,2
373.0,切橿,2
374.0,切橿,2
375.0,切橿,2
376.0,切橿,2
377.0,切橿,1
378.0,切橿,2
380.0,切橿,1
384.0,切橿,2
385.0,切橿,1
386.0,切橿,2
387.0,切橿,2
388.0,切橿,2
389.0,切橿,2
396.0,切橿,2
398.0,切橿,2
400.0,切橿,1
401.0,切橿,2
402.0,切橿,2
405.0,切橿,1
406.0,切橿,1
411.0,切橿,2
412.0,切橿,1
416.0,切橿,2
418.0,切橿,2
419.0,切橿,1
420.0,切橿,2
421.0,切橿,3
422.0,切橿,3
424.0,切橿,2
431.0,切橿,3
432.0,切橿,1
437.0,切橿,2
438.0,切橿,2
439.0,切橿,2
440.0,切橿,1
441.0,切橿,3
443.0,切橿,1
448.0,切橿,1
457.0,切橿,2
458.0,切橿,1
463.0,切橿,3
465.0,切橿,2
467.0,切橿,1
476.0,切橿,2
477.0,切橿,2
480.0,切橿,3
481.0,切橿,1
482.0,切橿,2
485.0,切橿,2
487.0,切橿,1
488.0,切橿,1
492.0,切橿,2
493.0,切橿,1
495.0,切橿,2
501.0,切橿,1
502.0,切橿,1
515.0,切橿,1
528.0,切橿,2
529.0,切橿,2
530.0,切橿,2
536.0,切橿,2
537.0,切橿,2
540.0,切橿,2
541.0,切橿,2
543.0,切橿,2
544.0,切橿,2
545.0,切橿,2
548.0,切橿,1
549.0,切橿,2
550.0,切橿,1
552.0,切橿,2
558.0,切橿,2
560.0,切橿,1
561.0,切橿,1
563.0,切橿,1
564.0,切橿,1
567.0,切橿,2
568.0,切橿,1
571.0,切橿,1
572.0,切橿,2
574.0,切橿,1
577.0,切橿,2
578.0,切橿,1
579.0,切橿,1
581.0,切橿,2
582.0,切橿,1
583.0,切橿,2
584.0,切橿,1
585.0,切橿,2
586.0,切橿,2
590.0,切橿,2
591.0,切橿,3
592.0,切橿,2
593.0,切橿,2
594.0,切橿,2
596.0,切橿,2
597.0,切橿,1
598.0,切橿,1
599.0,切橿,1
603.0,切橿,1
606.0,切橿,3
607.0,切橿,2
609.0,切橿,2
612.0,切橿,2
613.0,切橿,1
614.0,切橿,2
615.0,切橿,2
616.0,切橿,2
618.0,切橿,2
619.0,切橿,2
620.0,切橿,2
621.0,切橿,2
622.0,切橿,2
623.0,切橿,1
624.0,切橿,5
627.0,切橿,2
628.0,切橿,3
630.0,切橿,2
632.0,切橿,2
634.0,切橿,1
636.0,切橿,1
638.0,切橿,2
639.0,切橿,2
640.0,切橿,2
641.0,切橿,1
644.0,切橿,2
646.0,切橿,2
649.0,切橿,2
653.0,切橿,1
654.0,切橿,1
656.0,切橿,1
661.0,切橿,2
669.0,切橿,3
673.0,切橿,2
674.0,切橿,3
678.0,切橿,1
679.0,切橿,2
680.0,切橿,3
681.0,切橿,1
690.0,切橿,1
691.0,切橿,2
697.0,切橿,2
702.0,切橿,1
706.0,切橿,2
711.0,切橿,1
714.0,切橿,2
717.0,切橿,1
718.0,切橿,2
721.0,切橿,1
723.0,切橿,2
724.0,切橿,2
726.0,切橿,2
727.0,切橿,1
729.0,切橿,2
730.0,切橿,1
732.0,切橿,2
733.0,切橿,1
734.0,切橿,2
735.0,切橿,2
739.0,切橿,2
741.0,切橿,2
742.0,切橿,3
745.0,切橿,2
747.0,切橿,2
748.0,切橿,1
749.0,切橿,2
750.0,切橿,2
751.0,切橿,2
752.0,切橿,1
753.0,切橿,2
756.0,切橿,2
757.0,切橿,2
758.0,切橿,2
760.0,切橿,2
779.0,切橿,1
781.0,切橿,2
782.0,切橿,1
783.0,切橿,2
785.0,切橿,2
786.0,切橿,1
787.0,切橿,2
788.0,切橿,1
791.0,切橿,1
792.0,切橿,2
793.0,切橿,2
795.0,切橿,1
798.0,切橿,1
802.0,切橿,2
803.0,切橿,2
805.0,切橿,2
806.0,切橿,1
811.0,切橿,1
830.0,切橿,2
832.0,切橿,1
833.0,切橿,2
834.0,切橿,1
838.0,切橿,1
843.0,切橿,1
845.0,切橿,1
846.0,切橿,2
853.0,切橿,1
859.0,切橿,3
860.0,切橿,1
861.0,切橿,2
863.0,切橿,2
871.0,切橿,2
872.0,切橿,1
875.0,切橿,2
878.0,切橿,2
887.0,切橿,2
888.0,切橿,2
890.0,切橿,2
896.0,切橿,2
897.0,切橿,1
899.0,切橿,1
901.0,切橿,1
904.0,切橿,1
905.0,切橿,2
906.0,切橿,2
914.0,切橿,2
915.0,切橿,3
921.0,切橿,1
923.0,切橿,1
924.0,切橿,2
927.0,切橿,1
929.0,切橿,1
933.0,切橿,1
937.0,切橿,3
939.0,切橿,1
940.0,切橿,1
941.0,切橿,1
943.0,切橿,1
951.0,切橿,2
958.0,切橿,1
961.0,切橿,2
962.0,切橿,2
975.0,切橿,1
981.0,切橿,2
985.0,切橿,1
986.0,切橿,1
991.0,切橿,1
999.0,切橿,2
1004.0,切橿,2
1009.0,切橿,2
1010.0,切橿,1
1014.0,切橿,2
1022.0,切橿,2
1023.0,切橿,1
1025.0,切橿,1
1026.0,切橿,2
1032.0,切橿,1
1033.0,切橿,2
1035.0,切橿,1
1036.0,切橿,1
1039.0,切橿,3
1040.0,切橿,1
1042.0,切橿,3
1043.0,切橿,1
1046.0,切橿,2
1048.0,切橿,1
1049.0,切橿,2
1052.0,切橿,1
1056.0,切橿,3
1059.0,切橿,1
1061.0,切橿,1
1063.0,切橿,1
1064.0,切橿,2
1066.0,切橿,2
1070.0,切橿,2
1071.0,切橿,2
1074.0,切橿,2
1076.0,切橿,2
1077.0,切橿,2
1082.0,切橿,2
1083.0,切橿,2
1085.0,切橿,1
1089.0,切橿,3
1103.0,切橿,2
1105.0,切橿,2
1106.0,切橿,2
1111.0,切橿,2
1116.0,切橿,2
1119.0,切橿,2
1121.0,切橿,2
1122.0,切橿,1
1123.0,切橿,2
1124.0,切橿,2
1129.0,切橿,3
1130.0,切橿,2
1131.0,切橿,1
1132.0,切橿,2
1133.0,切橿,3
1134.0,切橿,2
1136.0,切橿,3
1137.0,切橿,2
1142.0,切橿,2
1143.0,切橿,1
1144.0,切橿,2
1145.0,切橿,2
1146.0,切橿,2
1147.0,切橿,1
1148.0,切橿,2
1149.0,切橿,1
1152.0,切橿,2
1157.0,切橿,2
1158.0,切橿,3
1160.0,切橿,2
1164.0,切橿,1
1165.0,切橿,2
1169.0,切橿,1
1171.0,切橿,1
1172.0,切橿,1
1175.0,切橿,2
1176.0,切橿,1
1177.0,切橿,1
1179.0,切橿,1
1181.0,切橿,2
1187.0,切橿,1
1190.0,切橿,2
1203.0,切橿,2
1204.0,切橿,2
1205.0,切橿,2
1209.0,切橿,2
1214.0,切橿,2
1217.0,切橿,2
1220.0,切橿,1
1222.0,切橿,2
1228.0,切橿,2
1229.0,切橿,2
1230.0,切橿,1
1238.0,切橿,2
1243.0,切橿,1
1245.0,切橿,2
1246.0,切橿,2
1247.0,切橿,2
1248.0,切橿,2
1249.0,切橿,2
1251.0,切橿,2
1252.0,切橿,2
1254.0,切橿,1
1258.0,切橿,1
1269.0,切橿,2
1274.0,切橿,1
1275.0,切橿,1
1276.0,切橿,2
1277.0,切橿,3
1278.0,切橿,2
1279.0,切橿,2
1280.0,切橿,1
1281.0,切橿,2
1283.0,切橿,2
1284.0,切橿,2
1286.0,切橿,1
1287.0,切橿,2
1292.0,切橿,1
1293.0,切橿,3
1294.0,切橿,1
1297.0,切橿,2
1305.0,切橿,1
1307.0,切橿,2
1308.0,切橿,2
1309.0,切橿,2
1311.0,切橿,3
1312.0,切橿,2
1313.0,切橿,1
1316.0,切橿,1
1318.0,切橿,3
1319.0,切橿,3
1321.0,切橿,1
1326.0,切橿,3
1327.0,切橿,2
1328.0,切橿,2
1329.0,切橿,2
1330.0,切橿,1
1331.0,切橿,3
1336.0,切橿,1
1337.0,切橿,2
1339.0,切橿,2
1340.0,切橿,1
1343.0,切橿,2
1344.0,切橿,2
1345.0,切橿,2
1350.0,切橿,2
1352.0,切橿,1
1353.0,切橿,2
1355.0,切橿,1
1357.0,切橿,2
1358.0,切橿,3
1359.0,切橿,1
1360.0,切橿,2
1361.0,切橿,3
1364.0,切橿,2
1375.0,切橿,1
1376.0,切橿,1
1382.0,切橿,2
1384.0,切橿,2
1385.0,切橿,2
1386.0,切橿,1
1389.0,切橿,3
1399.0,切橿,2
