id,relations,honey_YN
1.0,배우자,1
2.0,배우자,1
3.0,배우자,1
4.0,배우자,1
5.0,배우자,1
6.0,배우자,1
7.0,배우자,1
9.0,배우자,1
11.0,배우자,1
12.0,배우자,1
13.0,배우자,1
14.0,배우자,1
15.0,배우자,1
16.0,배우자,1
17.0,배우자,1
18.0,배우자,1
19.0,배우자,1
20.0,배우자,1
21.0,배우자,1
22.0,배우자,1
23.0,배우자,1
24.0,배우자,1
25.0,배우자,1
27.0,배우자,1
28.0,배우자,1
29.0,배우자,1
30.0,배우자,1
31.0,배우자,1
32.0,배우자,1
33.0,배우자,1
34.0,배우자,1
35.0,배우자,1
36.0,배우자,1
37.0,배우자,1
39.0,배우자,1
40.0,배우자,1
42.0,배우자,1
43.0,배우자,1
44.0,배우자,1
45.0,배우자,1
46.0,배우자,1
47.0,배우자,1
49.0,배우자,1
50.0,배우자,1
51.0,배우자,1
52.0,배우자,1
53.0,배우자,1
54.0,배우자,1
55.0,배우자,1
56.0,배우자,1
57.0,배우자,1
58.0,배우자,1
60.0,배우자,1
61.0,배우자,1
62.0,배우자,1
63.0,배우자,1
64.0,배우자,1
65.0,배우자,1
67.0,배우자,1
69.0,배우자,1
70.0,배우자,1
71.0,배우자,1
72.0,배우자,1
75.0,배우자,1
76.0,배우자,1
77.0,배우자,1
78.0,배우자,1
82.0,배우자,1
83.0,배우자,1
84.0,배우자,1
85.0,배우자,1
87.0,배우자,1
88.0,배우자,1
90.0,배우자,1
91.0,배우자,1
92.0,배우자,1
93.0,배우자,1
94.0,배우자,1
97.0,배우자,1
99.0,배우자,1
101.0,배우자,1
102.0,배우자,1
104.0,배우자,1
106.0,배우자,1
107.0,배우자,1
108.0,배우자,1
109.0,배우자,1
110.0,배우자,1
116.0,배우자,1
122.0,배우자,1
123.0,배우자,1
124.0,배우자,1
125.0,배우자,1
126.0,배우자,1
127.0,배우자,1
133.0,배우자,1
135.0,배우자,1
136.0,배우자,1
140.0,배우자,1
142.0,배우자,1
144.0,배우자,1
145.0,배우자,1
146.0,배우자,1
148.0,배우자,1
149.0,배우자,1
154.0,배우자,1
155.0,배우자,1
161.0,배우자,1
163.0,배우자,1
165.0,배우자,1
166.0,배우자,1
167.0,배우자,1
168.0,배우자,1
170.0,배우자,1
171.0,배우자,1
172.0,배우자,1
173.0,배우자,1
175.0,배우자,1
177.0,배우자,1
181.0,배우자,1
183.0,배우자,1
184.0,배우자,1
186.0,배우자,1
187.0,배우자,1
188.0,배우자,1
190.0,배우자,1
191.0,배우자,1
192.0,배우자,1
194.0,배우자,1
196.0,배우자,1
200.0,배우자,1
201.0,배우자,1
202.0,배우자,1
205.0,배우자,1
208.0,배우자,1
211.0,배우자,1
217.0,배우자,1
218.0,배우자,1
219.0,배우자,1
223.0,배우자,1
224.0,배우자,1
225.0,배우자,1
226.0,배우자,1
227.0,배우자,1
229.0,배우자,1
233.0,배우자,1
234.0,배우자,1
235.0,배우자,1
239.0,배우자,1
240.0,배우자,1
241.0,배우자,1
242.0,배우자,1
246.0,배우자,1
249.0,배우자,1
250.0,배우자,1
256.0,배우자,1
258.0,배우자,1
261.0,배우자,1
262.0,배우자,1
264.0,배우자,1
265.0,배우자,1
266.0,배우자,1
267.0,배우자,1
270.0,배우자,1
272.0,배우자,1
273.0,배우자,1
274.0,배우자,1
276.0,배우자,1
279.0,배우자,1
280.0,배우자,1
282.0,배우자,1
284.0,배우자,1
285.0,배우자,1
289.0,배우자,1
292.0,배우자,1
297.0,배우자,1
299.0,배우자,1
300.0,배우자,1
301.0,배우자,1
303.0,배우자,1
304.0,배우자,1
305.0,배우자,1
309.0,배우자,1
311.0,배우자,1
316.0,배우자,1
319.0,배우자,1
321.0,배우자,1
323.0,배우자,1
324.0,배우자,1
329.0,배우자,1
330.0,배우자,1
333.0,배우자,1
334.0,배우자,1
337.0,배우자,1
339.0,배우자,1
340.0,배우자,1
341.0,배우자,1
342.0,배우자,1
344.0,배우자,1
347.0,배우자,1
349.0,배우자,1
354.0,배우자,1
355.0,배우자,1
367.0,배우자,1
368.0,배우자,1
372.0,배우자,1
373.0,배우자,1
374.0,배우자,1
375.0,배우자,1
376.0,배우자,1
377.0,배우자,1
378.0,배우자,1
380.0,배우자,1
384.0,배우자,1
385.0,배우자,1
387.0,배우자,1
388.0,배우자,1
389.0,배우자,1
392.0,배우자,1
396.0,배우자,1
398.0,배우자,1
400.0,배우자,1
401.0,배우자,1
402.0,배우자,1
405.0,배우자,1
406.0,배우자,1
408.0,배우자,1
412.0,배우자,1
416.0,배우자,1
418.0,배우자,1
419.0,배우자,1
420.0,배우자,1
421.0,배우자,1
422.0,배우자,1
431.0,배우자,1
432.0,배우자,1
433.0,배우자,1
437.0,배우자,1
438.0,배우자,1
439.0,배우자,1
440.0,배우자,1
441.0,배우자,1
443.0,배우자,1
448.0,배우자,1
451.0,배우자,1
457.0,배우자,1
458.0,배우자,1
463.0,배우자,1
465.0,배우자,1
467.0,배우자,1
473.0,배우자,1
476.0,배우자,1
477.0,배우자,1
480.0,배우자,1
481.0,배우자,1
482.0,배우자,1
485.0,배우자,1
487.0,배우자,1
490.0,배우자,1
492.0,배우자,1
493.0,배우자,1
495.0,배우자,1
497.0,배우자,1
501.0,배우자,1
502.0,배우자,1
511.0,배우자,1
513.0,배우자,1
527.0,배우자,1
528.0,배우자,1
529.0,배우자,1
530.0,배우자,1
535.0,배우자,1
536.0,배우자,1
537.0,배우자,1
539.0,배우자,1
541.0,배우자,1
542.0,배우자,1
543.0,배우자,1
544.0,배우자,1
545.0,배우자,1
548.0,배우자,1
549.0,배우자,1
550.0,배우자,1
552.0,배우자,1
553.0,배우자,1
555.0,배우자,1
558.0,배우자,1
561.0,배우자,1
563.0,배우자,1
564.0,배우자,1
567.0,배우자,1
568.0,배우자,1
571.0,배우자,1
572.0,배우자,1
574.0,배우자,1
576.0,배우자,1
577.0,배우자,1
578.0,배우자,1
579.0,배우자,1
581.0,배우자,1
582.0,배우자,1
583.0,배우자,1
584.0,배우자,1
585.0,배우자,1
586.0,배우자,1
587.0,배우자,1
588.0,배우자,1
590.0,배우자,1
591.0,배우자,1
592.0,배우자,1
593.0,배우자,1
594.0,배우자,1
596.0,배우자,1
597.0,배우자,1
598.0,배우자,1
599.0,배우자,1
603.0,배우자,1
606.0,배우자,1
609.0,배우자,1
612.0,배우자,1
613.0,배우자,1
614.0,배우자,1
615.0,배우자,1
616.0,배우자,1
617.0,배우자,1
618.0,배우자,1
619.0,배우자,1
620.0,배우자,1
621.0,배우자,1
622.0,배우자,1
623.0,배우자,1
624.0,배우자,1
627.0,배우자,1
628.0,배우자,1
630.0,배우자,1
632.0,배우자,1
634.0,배우자,1
636.0,배우자,1
638.0,배우자,1
639.0,배우자,1
640.0,배우자,1
641.0,배우자,1
643.0,배우자,1
644.0,배우자,1
646.0,배우자,1
647.0,배우자,1
649.0,배우자,1
653.0,배우자,1
654.0,배우자,1
656.0,배우자,1
661.0,배우자,1
665.0,배우자,1
668.0,배우자,1
669.0,배우자,1
673.0,배우자,1
674.0,배우자,1
678.0,배우자,1
679.0,배우자,1
680.0,배우자,1
681.0,배우자,1
683.0,배우자,1
690.0,배우자,1
691.0,배우자,1
697.0,배우자,1
702.0,배우자,1
706.0,배우자,1
714.0,배우자,1
716.0,배우자,1
717.0,배우자,1
718.0,배우자,1
721.0,배우자,1
723.0,배우자,1
724.0,배우자,1
725.0,배우자,1
726.0,배우자,1
727.0,배우자,1
730.0,배우자,1
732.0,배우자,1
733.0,배우자,1
734.0,배우자,1
735.0,배우자,1
739.0,배우자,1
741.0,배우자,1
742.0,배우자,1
745.0,배우자,1
747.0,배우자,1
748.0,배우자,1
749.0,배우자,1
750.0,배우자,1
751.0,배우자,1
752.0,배우자,1
753.0,배우자,1
756.0,배우자,1
757.0,배우자,1
758.0,배우자,1
760.0,배우자,1
768.0,배우자,1
779.0,배우자,1
781.0,배우자,1
782.0,배우자,1
783.0,배우자,1
785.0,배우자,1
786.0,배우자,1
787.0,배우자,1
788.0,배우자,1
791.0,배우자,1
792.0,배우자,1
795.0,배우자,1
798.0,배우자,1
802.0,배우자,1
803.0,배우자,1
805.0,배우자,1
806.0,배우자,1
809.0,배우자,1
811.0,배우자,1
830.0,배우자,1
832.0,배우자,1
833.0,배우자,1
834.0,배우자,1
838.0,배우자,1
843.0,배우자,1
845.0,배우자,1
846.0,배우자,1
853.0,배우자,1
859.0,배우자,1
860.0,배우자,1
861.0,배우자,1
863.0,배우자,1
864.0,배우자,1
871.0,배우자,1
872.0,배우자,1
875.0,배우자,1
878.0,배우자,1
882.0,배우자,1
887.0,배우자,1
888.0,배우자,1
890.0,배우자,1
896.0,배우자,1
897.0,배우자,1
899.0,배우자,1
904.0,배우자,1
905.0,배우자,1
906.0,배우자,1
914.0,배우자,1
915.0,배우자,1
921.0,배우자,1
923.0,배우자,1
924.0,배우자,1
927.0,배우자,1
929.0,배우자,1
933.0,배우자,1
937.0,배우자,1
938.0,배우자,1
939.0,배우자,1
940.0,배우자,1
941.0,배우자,1
943.0,배우자,1
951.0,배우자,1
958.0,배우자,1
961.0,배우자,1
962.0,배우자,1
968.0,배우자,1
975.0,배우자,1
981.0,배우자,1
985.0,배우자,1
986.0,배우자,1
987.0,배우자,1
988.0,배우자,1
991.0,배우자,1
999.0,배우자,1
1000.0,배우자,1
1004.0,배우자,1
1009.0,배우자,1
1010.0,배우자,1
1013.0,배우자,1
1014.0,배우자,1
1022.0,배우자,1
1023.0,배우자,1
1024.0,배우자,1
1025.0,배우자,1
1026.0,배우자,1
1032.0,배우자,1
1033.0,배우자,1
1035.0,배우자,1
1036.0,배우자,1
1039.0,배우자,1
1040.0,배우자,1
1042.0,배우자,1
1043.0,배우자,1
1046.0,배우자,1
1048.0,배우자,1
1049.0,배우자,1
1052.0,배우자,1
1056.0,배우자,1
1059.0,배우자,1
1061.0,배우자,1
1063.0,배우자,1
1064.0,배우자,1
1065.0,배우자,1
1066.0,배우자,1
1070.0,배우자,1
1071.0,배우자,1
1074.0,배우자,1
1075.0,배우자,1
1076.0,배우자,1
1077.0,배우자,1
1081.0,배우자,1
1082.0,배우자,1
1083.0,배우자,1
1085.0,배우자,1
1089.0,배우자,1
1097.0,배우자,1
1098.0,배우자,1
1103.0,배우자,1
1106.0,배우자,1
1111.0,배우자,1
1116.0,배우자,1
1119.0,배우자,1
1121.0,배우자,1
1123.0,배우자,1
1124.0,배우자,1
1129.0,배우자,1
1130.0,배우자,1
1131.0,배우자,1
1132.0,배우자,1
1133.0,배우자,1
1134.0,배우자,1
1135.0,배우자,1
1136.0,배우자,1
1137.0,배우자,1
1142.0,배우자,1
1143.0,배우자,1
1144.0,배우자,1
1145.0,배우자,1
1146.0,배우자,1
1147.0,배우자,1
1148.0,배우자,1
1149.0,배우자,1
1152.0,배우자,1
1153.0,배우자,1
1157.0,배우자,1
1158.0,배우자,1
1160.0,배우자,1
1164.0,배우자,1
1165.0,배우자,1
1166.0,배우자,1
1167.0,배우자,1
1169.0,배우자,1
1171.0,배우자,1
1172.0,배우자,1
1175.0,배우자,1
1176.0,배우자,1
1177.0,배우자,1
1179.0,배우자,1
1181.0,배우자,1
1187.0,배우자,1
1190.0,배우자,1
1194.0,배우자,1
1195.0,배우자,1
1196.0,배우자,1
1201.0,배우자,1
1202.0,배우자,1
1203.0,배우자,1
1204.0,배우자,1
1205.0,배우자,1
1209.0,배우자,1
1214.0,배우자,1
1220.0,배우자,1
1222.0,배우자,1
1228.0,배우자,1
1229.0,배우자,1
1231.0,배우자,1
1237.0,배우자,1
1238.0,배우자,1
1239.0,배우자,1
1243.0,배우자,1
1245.0,배우자,1
1246.0,배우자,1
1247.0,배우자,1
1248.0,배우자,1
1249.0,배우자,1
1251.0,배우자,1
1252.0,배우자,1
1254.0,배우자,1
1255.0,배우자,1
1258.0,배우자,1
1269.0,배우자,1
1274.0,배우자,1
1275.0,배우자,1
1276.0,배우자,1
1277.0,배우자,1
1278.0,배우자,1
1279.0,배우자,1
1280.0,배우자,1
1281.0,배우자,1
1283.0,배우자,1
1284.0,배우자,1
1285.0,배우자,1
1286.0,배우자,1
1287.0,배우자,1
1292.0,배우자,1
1293.0,배우자,1
1294.0,배우자,1
1297.0,배우자,1
1305.0,배우자,1
1307.0,배우자,1
1308.0,배우자,1
1309.0,배우자,1
1312.0,배우자,1
1313.0,배우자,1
1316.0,배우자,1
1318.0,배우자,1
1319.0,배우자,1
1321.0,배우자,1
1325.0,배우자,1
1326.0,배우자,1
1327.0,배우자,1
1328.0,배우자,1
1329.0,배우자,1
1330.0,배우자,1
1331.0,배우자,1
1335.0,배우자,1
1336.0,배우자,1
1337.0,배우자,1
1339.0,배우자,1
1340.0,배우자,1
1342.0,배우자,1
1343.0,배우자,1
1344.0,배우자,1
1345.0,배우자,1
1350.0,배우자,1
1352.0,배우자,1
1353.0,배우자,1
1355.0,배우자,1
1357.0,배우자,1
1358.0,배우자,1
1359.0,배우자,1
1360.0,배우자,1
1361.0,배우자,1
1364.0,배우자,1
1367.0,배우자,1
1375.0,배우자,1
1376.0,배우자,1
1382.0,배우자,1
1384.0,배우자,1
1385.0,배우자,1
1386.0,배우자,1
1389.0,배우자,1
1399.0,배우자,1
